name,positions,custom_score,value_euro,age,nationality,group
L. Kurzawa,"LB,LWB",60.830000000000005,10500000.0,26,France,DEF
R. Alessandrini,"RM,LM,RW,CAM",60.53999999999999,10000000.0,29,France,MID
E. Alfonso,GK,29.24,575000.0,30,Italy,GK
J. Schmid,"RB,RM,RWB",58.91999999999999,3200000.0,28,France,DEF
J. Pied,"RB,RM,LB",58.989999999999995,3000000.0,30,France,DEF
N. De Préville,"LW,ST",57.44000000000001,6000000.0,28,France,FWD
V. Germain,ST,58.080000000000005,8000000.0,28,France,FWD
R. Soriano,"LM,CM,CAM",60.26000000000002,9500000.0,28,Italy,MID
D. Berardi,"RW,ST",59.28000000000001,14000000.0,24,Italy,FWD
W. Cyprien,"CM,CDM",62.46,13500000.0,24,France,MID
A. Florenzi,"RB,RW,LW",64.98,20500000.0,27,Italy,DEF
