5name,positions,custom_score,value_euro,age,nationality,group
A. Schürrle,"RW,LW",59.63999999999999,9500000.0,28,Germany,FWD
Jefferson,LB,59.81,5000000.0,30,Brazil,DEF
K. Wolze,"LB,LM",57.730000000000004,1400000.0,28,Germany,DEF
M. Riemann,GK,30.5,1200000.0,30,Germany,GK
Fabrício,"ST,LW",57.65,7000000.0,28,Brazil,FWD
F. Viviani,"CDM,CM",59.360000000000014,6500000.0,26,Italy,MID
Maurício,CDM,60.46,7000000.0,30,Brazil,MID
Alex Teixeira,"ST,CAM",61.490000000000016,13000000.0,29,Brazil,MID
Rafael,"RB,RWB",60.739999999999995,10500000.0,28,Brazil,DEF
L. Stindl,CF,62.63000000000002,18000000.0,30,Germany,FWD
A. Florenzi,"RB,RW,LW",64.98,20500000.0,27,Italy,DEF
